Mesh ID,Generic name,Common name,Synonyms,Tree
D001264,Athetosis,Athetosis,"Hammonds Disease|Movement, Athetoid|Athetoid Movement|Disease, Hammond|Athetosis|Disease, Hammond's|Athetoid Movements|Hammond Disease|Athetoses|Hammond's Diseases|Movements, Athetoid|Diseases, Hammond's|Hammond Diseases|Diseases, Hammond|Hammond's Disease",C10.597.350.110|C23.888.592.350.110
D001265,Athletic Injuries,Athletic Injuries,"Sports Injury|Injury, Athletic|Injuries, Athletic|Athletic Injuries|Injury, Sports|Sports Injuries|Athletic Injury|Injuries, Sports",C26.115
D001281,Atrial Fibrillation,Atrial Fibrillation,"Atrial Fibrillations|Paroxysmal Atrial Fibrillation|Atrial Fibrillations, Paroxysmal|Fibrillations, Familial Atrial|Fibrillation, Atrial|Persistent Atrial Fibrillations|Fibrillations, Atrial|Persistent Atrial Fibrillation|Familial Atrial Fibrillations|Fibrillation, Auricular|Fibrillation, Paroxysmal Atrial|Fibrillations, Persistent Atrial|Auricular Fibrillations|Familial Atrial Fibrillation|Atrial Fibrillations, Persistent|Paroxysmal Atrial Fibrillations|Fibrillation, Persistent Atrial|Atrial Fibrillation, Persistent|Atrial Fibrillation, Paroxysmal|Fibrillation, Familial Atrial|Fibrillations, Auricular|Atrial Fibrillations, Familial|Fibrillations, Paroxysmal Atrial|Atrial Fibrillation|Auricular Fibrillation|Atrial Fibrillation, Familial",C14.280.067.198|C23.550.073.198
D001282,Atrial Flutter,Atrial Flutter,"Flutters, Atrial|Auricular Flutter|Flutter, Auricular|Flutters, Auricular|Atrial Flutter|Flutter, Atrial|Atrial Flutters|Auricular Flutters",C23.550.073.248|C14.280.067.248
D001284,Atrophy,Atrophy,Atrophies|Atrophy,C23.300.070
D001304,"Auditory Diseases, Central","Auditory Diseases, Central","Central Auditory Disease|Auditory Disease, Central|Auditory Dysfunction, Central|Central Auditory Diseases|Cortex Disorder, Auditory|Dysfunctions, Central Auditory|Auditory Pathway Disorders, Central|Dysfunction, Central Auditory|Auditory Cortex Disorder|Cortex Disorders, Auditory|Auditory Cortex Disorders|Auditory Diseases, Central|Central Auditory Dysfunction|Central Auditory Pathway Disorders",C10.228.140.068|C09.218.807.186
D015551,Autoimmune Diseases,Autoimmune Diseases,"Disease, Autoimmune|Autoimmune Diseases|Diseases, Autoimmune|Autoimmune Disease",C20.111
D001329,Autolysis,Autolysis,Autolysis|Autolyses,C23.550.260.224.617.236
D001342,Autonomic Nervous System Diseases,Autonomic Nervous System Diseases,"Autonomic Central Nervous System Diseases|Autonomic Disease|Segmental Autonomic Dysfunctions|ANS Diseases|Central Autonomic Nervous System Diseases|Autonomic Peripheral Nervous System Diseases|Autonomic Dysfunctions, Segmental|Nervous System Diseases, Sympathetic|Autonomic Dysfunction, Segmental|Autonomic Disorder|Disorders of the Autonomic Nervous System|Parasympathetic Nervous System Diseases|Autonomic Nervous System Disorders|Nervous System Diseases, Autonomic|Nervous System Diseases, Parasympathetic|Non Familial Dysautonomia|Autonomic Diseases|Peripheral Autonomic Nervous System Diseases|Autonomic Nervous System Diseases|Dysautonomia|Sympathetic Nervous System Diseases|Disorder, Autonomic|ANS (Autonomic Nervous System) Diseases|Segmental Autonomic Dysfunction|Non-Familial Dysautonomias|Dysautonomia, Non-Familial|Dysautonomias|Non-Familial Dysautonomia|Autonomic Disorders|ANS Disease",C10.177
D001353,Avian Leukosis,Avian Leukosis,"Avian Leukoses|Leukosis, Avian|Leukoses, Avian|Avian Leukosis",C15.378.508.372.216|C22.131.094|C04.619.531.216|C04.557.337.372.216|C01.925.928.120|C01.925.782.815.096
D001357,"Sarcoma, Avian","Sarcoma, Avian","Rous Sarcoma|Sarcoma, Avian|Avian Sarcomas|Sarcoma, Rous|Sarcomas, Avian|Avian Sarcoma",C01.925.782.815.800|C22.131.800|C04.619.857.800|C04.557.450.795.830.800|C01.925.928.800
D001361,Avitaminosis,Avitaminosis,"Deficiency, Vitamin|Vitamin Deficiency|Deficiencies, Vitamin|Vitamin Deficiencies|Avitaminosis|Avitaminoses",C18.654.521.500.133
D001404,Babesiosis,Babesiosis,"Infection, Babesia|Human Babesiosis|Infections, Babesia|Human Babesioses|Babesia Parasite Infection|Babesiosis, Human|Babesiases|Babesia Infections|Piroplasmosis|Babesia Infection|Babesiasis|Infection, Babesia Parasite|Babesiosis|Infections, Babesia Parasite|Babesioses|Babesioses, Human|Babesia Parasite Infections|Piroplasmoses",C22.674.710.122|C01.920.930.182|C01.610.701.688.122|C01.610.752.625.122|C01.610.752.075
D017116,Back Pain,Back Pain,"Back Pain|Pain Syndromes, Vertebrogenic|Pain, Back|Ache, Back|Syndromes, Vertebrogenic Pain|Syndrome, Vertebrogenic Pain|Aches, Back|Backaches|Back Pain with Radiation|Pain Syndrome, Vertebrogenic|Back Aches|Back Pain without Radiation|Pains, Back|Vertebrogenic Pain Syndrome|Vertebrogenic Pain Syndromes|Back Pains|Back Ache|Backache",C23.888.592.612.107
D001423,Bacterial Infections and Mycoses,Bacterial Infections and Mycoses,Bacterial Infections and Mycoses,C01.150
D001424,Bacterial Infections,Bacterial Infections,"Infection, Bacterial|Bacterial Disease|Infections, Bacterial|Bacterial Infections|Bacterial Infection|Bacterial Diseases",C01.150.252
D001437,Bacteriuria,Bacteriuria,Bacteriurias|Bacteriuria,C12.200.777.892.219|C12.950.892.219|C12.050.351.968.892.219|C01.915.219
D001442,Bacteroides Infections,Bacteroides Infections,"Bacteroides Infection|Bacteroides Infections|Infection, Bacteroides|Infections, Bacteroides",C01.150.252.400.110.109
D001446,Balanitis,Balanitis,Balanitis|Balanitides,C12.200.294.494.136|C12.100.500.494.136
D001447,Balantidiasis,Balantidiasis,"Balantidium coli Infection|Balantidium Infection|B. coli Infections|Balantidiasis|B. coli Infection|Balantidiases|Balantidium coli Infections|Infection, B. coli|Balantidium Infections",C01.610.752.200.146|C06.405.469.452.146|C01.610.432.146
D001449,Balkan Nephropathy,Balkan Nephropathy,"Balkan Endemic Nephropathy|Balkan Nephropathy|Danubian Endemic Familial Nephropathy|Nephropathy, Balkan|Endemic Nephropathy, Balkan|Nephropathy, Balkan Endemic",C12.950.419.570.643.150|C12.200.777.419.570.643.150|C12.050.351.968.419.570.643.150
D006610,Barotrauma,Barotrauma,Barotraumas|Barotrauma,C26.120
D001471,Barrett Esophagus,Barrett Esophagus,"Barrett's Syndrome|Barretts Syndrome|Metaplasias, Barrett|Barrett Esophagus|Esophagus, Barrett's|Barrett Epithelium|Metaplasia, Barrett|Esophagus, Barrett|Barrett Syndrome|Barretts Esophagus|Barrett's Esophagus|Epithelium, Barrett|Barrett Metaplasia|Barrett Metaplasias",C04.834.154|C06.405.117.102
D001474,Bartonella Infections,Bartonella Infections,"Rochalimaea Infections|Rochalimaea Infection|Infection, Bartonella|Infection, Bartonella bacilliformis|Bartonella bacilliformis Infections|Disease, Carrion's|Disease, Carrion|Carrion's Disease|Bartonella bacilliformis Infection|Verruga Peruana|Infections, Bartonella|Bartonella Infections|Infection, Rochalimaea|Oroya Fever|Infections, Rochalimaea|Bartonella Infection|Bartonellosis|Bartonelloses|Carrion Disease|Fever, Oroya",C01.150.252.400.126.100
D001476,Bartonellaceae Infections,Bartonellaceae Infections,"Bartonellaceae Infections|Infection, Bartonellaceae|Infections, Bartonellaceae|Bartonellaceae Infection",C01.150.252.400.126
D028021,Bartter Syndrome,Bartter Syndrome,"Aldosteronism with Hyperplasia of the Adrenal Cortex|Bartter Syndrome|Bartter's Disease|Bartter's Syndrome|Bartter Disease|Juxtaglomerular Hyperplasia with Secondary Aldosteronism|Syndrome, Bartter's|Bartters Syndrome|Syndrome, Bartter|Bartters Disease",C12.050.351.968.419.815.279|C12.950.419.815.279|C19.053.800.604.249|C12.200.777.419.815.279
D001478,Basal Cell Nevus Syndrome,Basal Cell Nevus Syndrome,"Gorlin-Goltz Syndrome|Basal Cell Nevus Syndrome|Nevus Syndrome, Basal Cell|Multiple Basal Cell Nevi, Odontogenic Keratocysts, and Skeletal Anomalies|Syndrome, Gorlin|Gorlin Goltz Syndrome|Syndrome, Gorlin-Goltz|Nevoid Basal Cell Carcinoma Syndrome|NBCCS|Fifth Phacomatoses|Gorlin Syndrome|Fifth Phacomatosis",C05.116.099.105|C16.131.077.130|C04.557.470.200.165.150|C04.557.470.565.165.150|C16.320.700.175|C05.500.470.690.150|C04.182.089.530.690.150|C04.700.175|C07.320.450.670.130
D001480,Basal Ganglia Diseases,Basal Ganglia Diseases,Basal Ganglia Disorders|Extrapyramidal Disorders|Basal Ganglia Disease|Extrapyramidal Disorder|Lenticulostriate Disorder|Basal Ganglia Disorder|Basal Ganglia Diseases|Lenticulostriate Disorders,C10.228.140.079
D056730,Beckwith-Wiedemann Syndrome,Beckwith-Wiedemann Syndrome,"Beckwith Wiedemann Syndrome|Beckwith-Wiedemann Syndrome|Wiedemann Beckwith Syndrome|Wiedemann Syndromes|Wiedemann Beckwith Syndrome (WBS)|Exomphalos-Macroglossia-Gigantism Syndromes|Syndrome, EMG|Syndrome, Exomphalos-Macroglossia-Gigantism|Exomphalos-Macroglossia-Gigantism Syndrome|Syndrome, Wiedemann-Beckwith|Exomphalos Macroglossia Gigantism Syndrome|EMG Syndrome|EMG Syndromes|Wiedemann-Beckwith Syndrome|Syndrome, Wiedemann|Syndrome, Wiedemann-Beckwith (WBS)|Wiedemann-Beckwith Syndromes (WBS)|Syndrome, Beckwith-Wiedemann|Wiedemann-Beckwith Syndrome (WBS)|Wiedemann Syndrome",C16.320.180.080|C16.131.077.133|C16.320.447.375|C16.131.260.080
D001528,Behcet Syndrome,Behcet Syndrome,"Triple Symptom Complices|Behcet's Disease|Triple Symptom Complex|Symptom Complex, Triple|Adamantiades-Behcet Disease|Triple-Symptom Complex|Behcet's Syndrome|Behçet Disease|Behcet Disease|Behcet Syndrome|Behçet Diseases|Behcet Triple Symptom Complex|Old Silk Route Disease|Adamantiades Behcet Disease|Adamantiades-Behcet Diseases",C16.320.382.250|C17.800.862.150|C11.941.879.780.880.200|C17.800.827.368.250|C07.465.075|C14.907.940.100
D001602,Beriberi,Beriberi,Beriberi,C18.654.521.500.133.699.827.223
D001606,Bernard-Soulier Syndrome,Bernard-Soulier Syndrome,"Platelet Syndromes, Giant|Giant Platelet Syndrome|Bernard Soulier Syndrome|Glycoprotein Ib, Platelet, Deficiency Of|Platelet Glycoprotein 1b, Deficiency of|Von Willebrand Factor Receptor Deficiency|Platelet Glycoprotein Ib Deficiency|Syndromes, Giant Platelet|Bernard-Soulier Syndrome|Deficiency of Platelet Glycoprotein 1b|Syndrome, Giant Platelet|Syndrome, Bernard-Soulier",C16.320.099.080|C15.378.463.080|C15.378.100.100.080|C15.378.140.120
D001607,Berylliosis,Berylliosis,Beryllium Disease|Berylliosis|Beryllioses,C08.381.483.581.225|C08.381.520.702.225|C24.800.225
D001630,Bezoars,Bezoars,"Trichobezoars|Ball, Hair|Bezoar|Hair Balls|Balls, Hair|Trichobezoar|Hair Ball|Bezoars",C26.392.183
D001649,Bile Duct Diseases,Bile Duct Diseases,"Duct Diseases, Bile|Bile Duct Disease|Diseases, Bile Duct|Bile Duct Diseases|Disease, Bile Duct|Duct Disease, Bile",C06.130.120
D001650,Bile Duct Neoplasms,Bile Duct Neoplasms,"Bile Duct Neoplasms|Bile Duct Cancer|Cancer, Bile Duct|Bile Duct Cancers|Cancer of Bile Duct|Neoplasm, Bile Duct|Cancers, Bile Duct|Neoplasms, Bile Duct|Cancer of the Bile Duct|Bile Duct Neoplasm",C06.130.320.120|C04.588.274.120.250|C06.301.120.250|C06.130.120.120
D041781,"Cholestasis, Extrahepatic","Cholestasis, Extrahepatic","Cholestasis, Extrahepatic|Extrahepatic Biliary Stasis|Biliary Stasis, Extrahepatic|Extrahepatic Cholestasis|Bile Duct Obstruction, Extrahepatic",C06.130.120.135.150
D001655,Bile Reflux,Bile Reflux,"Bile Reflux|Reflux, Bile",C06.405.748.240.140|C06.130.140
D011171,Biliary Atresia,Biliary Atresia,"Biliary Atresia, Extrahepatic|Idiopathic Extrahepatic Biliary Atresia|Extrahepatic Biliary Atresia|Intrahepatic Biliary Atresia|Atresia, Biliary|Familial Extrahepatic Biliary Atresia|Biliary Atresia|Atresia, Intrahepatic Biliary|Atresia, Extrahepatic Biliary|Biliary Atresia, Intrahepatic",C16.131.314.125|C06.198.125|C06.130.120.123
D001657,Biliary Dyskinesia,Biliary Dyskinesia,"Biliary Dyskinesias|Gallbladder Dyskinesia|Dyskinesia, Gallbladder|Dyskinesias, Biliary|Biliary Dyskinesia|Dyskinesia, Biliary|Gallbladder Dyskinesias|Dyskinesias, Gallbladder",C06.130.120.250.098
D001658,Biliary Fistula,Biliary Fistula,"Biliary Fistula|Biliary Fistulas|Fistula, Biliary|Fistulas, Biliary",C23.300.575.185.150|C06.267.150
D002758,Biliary Tract Diseases,Biliary Tract Diseases,"Disease, Biliary Tract|Biliary Tract Diseases|Diseases, Biliary Tract|Tract Diseases, Biliary|Biliary Tract Disease|Tract Disease, Biliary",C06.130
D001661,Biliary Tract Neoplasms,Biliary Tract Neoplasms,"Biliary Tract Cancer|Biliary Tract Neoplasms|Biliary Tract Cancers|Cancer, Biliary Tract|Cancer of Biliary Tract|Neoplasms, Biliary Tract|Neoplasm, Biliary Tract|Cancers, Biliary Tract|Cancer of the Biliary Tract|Biliary Tract Neoplasm",C06.130.320|C04.588.274.120|C06.301.120
D001715,Bird Diseases,Bird Diseases,"Bird Diseases|Diseases, Bird|Bird Disease|Avian Diseases|Disease, Bird|Disease, Avian|Diseases, Avian|Avian Disease",C22.131
D001716,Bird Fancier's Lung,Bird Fancier's Lung,"Bird Fancier Lung|Avian Hypersensitivity Pneumonitis|Lung, Budgerigar Fancier's|Lung, Pigeon Breeder's|Lungs, Pigeon Breeder's|Bird Fancier's Lung|Pigeon Breeder's Lung|Lung, Bird Fancier's|Feather Duvet Lungs|Lungs, Feather Duvet|Budgerigar Fanciers Lung|Lungs, Bird Fancier's|Pigeon Breeders Lung|Budgerigar Fancier Lung|Pneumonitides, Avian Hypersensitivity|Budgerigar Fancier's Lungs|Duvet Lung, Feather|Budgerigar Fancier's Lung|Hypersensitivity Pneumonitides, Avian|Pneumonitis, Hypersensitivity, Avian|Bird Fancier's Lungs|Pigeon Breeder's Lungs|Feather Duvet Lung|Lungs, Budgerigar Fancier's|Bird Fanciers Lung|Avian Hypersensitivity Pneumonitides|Pneumonitis, Avian Hypersensitivity|Duvet Lungs, Feather|Lung, Feather Duvet|Hypersensitivity Pneumonitis, Avian|Pigeon Breeder Lung",C20.543.480.680.075.125|C24.125|C08.381.483.125.125|C08.674.055.125
D001720,Birth Injuries,Birth Injuries,"Birth Injuries|Injuries, Birth|Injury, Birth|Birth Injury",C26.141|C16.614.131
D001733,Bites and Stings,Bites and Stings,Sting|Bite|Bites|Stings and Bites|Stings|Bites and Stings,C26.176|C25.723.127
D001734,"Bites, Human","Bites, Human","Bites, Human|Bite, Human|Human Bites|Human Bite",C26.176.071
D001742,Blackwater Fever,Blackwater Fever,"Fevers, Black Water|Black Water Fevers|Fevers, Blackwater|Blackwater Fevers|Malaria, Hemolytic|Blackwater Fever|Hemolytic Malarias|Fever, Blackwater|Malarias, Hemolytic|Fever, Black Water|Black Water Fever|Hemolytic Malaria",C01.610.752.530.650.228|C01.920.852.750.650.228
D001744,Urinary Bladder Calculi,Urinary Bladder Calculi,"Calculus, Urinary Bladder|Bladder Calculi, Urinary|Bladder Calculus, Urinary|Urinary Bladder Stone|Vesical Calculus|Bladder Stones|Calculi, Urinary Bladder|Stones, Urinary Bladder|Bladder Calculi|Bladder Calculus|Urinary Bladder Stones|Cystolith|Calculi, Vesical|Calculus, Vesical|Bladder Stones, Urinary|Bladder Stone|Cystoliths|Calculi of Urinary Bladder|Stone, Urinary Bladder|Urinary Bladder Calculi|Urinary Bladder Calculus|Calculi, Bladder|Stone, Bladder|Stones, Bladder|Bladder Stone, Urinary|Calculus, Bladder|Vesical Calculi",C12.200.777.967.500.925|C12.050.351.968.829.521|C12.950.829.521|C23.300.175.850.875|C12.200.777.829.720|C12.950.967.500.925|C12.050.351.968.967.500.925
D001745,Urinary Bladder Diseases,Urinary Bladder Diseases,Urinary Bladder Disease|Urinary Bladder Diseases|Bladder Diseases|Bladder Disease,C12.950.829|C12.050.351.968.829|C12.200.777.829
D001746,Bladder Exstrophy,Bladder Exstrophy,"Extrophy, Bladder|Extrophies, Bladder|Urinary Bladder Exstrophies|Exstrophy of the Bladder|Exstrophy, Bladder|Urinary Bladder Exstrophy|Exstrophy, Urinary Bladder|Exstrophies, Bladder|Exstrophy Of Bladder|Exstrophies, Urinary Bladder|Bladder Extrophy|Bladder Extrophies|Bladder Exstrophy|Bladder Exstrophies",C12.200.777.829.132|C12.200.706.132|C12.050.351.968.829.132|C12.950.829.132|C16.131.939.132|C12.800.132|C12.050.351.875.132
D001747,Urinary Bladder Fistula,Urinary Bladder Fistula,"Fistulas, Urinary Bladder|Fistulas, Vesical|Urinary Bladder Fistula|Vesical Fistulas|Vesical Fistula|Urinary Bladder Fistulas|Fistula, Vesical|Fistula, Urinary Bladder",C12.050.351.968.829.548|C12.950.829.548|C23.300.575.825.250|C12.200.706.881.312|C12.050.351.875.881.312|C12.200.777.829.733|C12.800.881.312
D001748,Urinary Bladder Neck Obstruction,Urinary Bladder Neck Obstruction,Bladder Neck Obstruction|Urinary Bladder Neck Obstruction|Bladder Outlet Obstruction,C12.200.777.767.700.962|C12.950.767.700.850|C12.950.829.601|C12.050.351.968.829.601|C12.050.351.968.767.700.850|C12.200.777.829.760
D001749,Urinary Bladder Neoplasms,Urinary Bladder Neoplasms,"Bladder Tumor|Urinary Bladder Neoplasm|Cancer of Bladder|Bladder Cancer|Bladder Neoplasms|Tumor, Bladder|Cancer, Bladder|Neoplasm, Bladder|Neoplasms, Bladder|Urinary Bladder Neoplasms|Cancer, Urinary Bladder|Bladder Cancers|Bladder Tumors|Neoplasm, Urinary Bladder|Malignant Tumor of Urinary Bladder|Urinary Bladder Cancer|Bladder Neoplasm|Tumors, Bladder|Cancer of the Bladder",C12.200.758.820.968|C12.900.820.945|C12.050.351.968.829.707|C12.050.351.937.820.945|C04.588.945.947.960|C12.200.777.829.813|C12.950.829.707|C12.950.983.945
D001750,"Urinary Bladder, Neurogenic","Urinary Bladder, Neurogenic","Bladder, Neurogenic|Bladder Neurogenesis|Neurogenic Bladder Disorder|Neurogenic Bladder|Atonic Neurogenic Bladder|Neurogenic Urinary Bladder|Neurogenic Dysfunction of the Urinary Bladder|Neurogenic Bladder Disorders|Neurogenic Urinary Bladder, Uninhibited|Urinary Bladder Neurogenic Dysfunction|Spastic Neurogenic Bladder|Neurogenic Bladder, Uninhibited|Neurogenic Bladder, Atonic|Uninhibited Neurogenic Bladder|Neurogenesis, Urinary Bladder|Neuropathic Bladder|Urinary Bladder Neurogenesis|Bladder Disorder, Neurogenic|Neurogenic Urinary Bladder, Spastic|Neurogenesis, Bladder|Neurogenic Urinary Bladder, Atonic|Urinary Bladder, Neurogenic|Neurogenic Bladder, Spastic|Urinary Bladder Disorder, Neurogenic|Neurogenic Urinary Bladder Disorder",C23.888.592.900|C12.050.351.968.829.760|C12.200.777.829.839|C10.597.900|C12.950.829.760
D008213,Blast Crisis,Blast Crisis,"Phases, Blast|Blast Crises|Crisis, Blast|Blast Crisis|Crises, Blast|Blast Phases|Phase, Blast|Blast Phase",C23.550.291.500.485.100|C15.378.508.539.250.100|C15.378.190.636.370.100|C23.550.727.098.500.110|C04.697.098.500.110|C04.557.337.539.250.100
D001753,Blast Injuries,Blast Injuries,"Blast Injuries|Blast Injury|Injuries, Blast|Injury, Blast",C26.120.126
D001759,Blastomycosis,Blastomycosis,"Gilchrist's Disease|Gilchrist Disease|North American Blastomycosis|Blastomycosis, North American|Gilchrists Disease|Blastomycosis|Blastomycoses",C01.150.703.302.055|C01.748.435.395|C08.381.472.350|C01.800.200.055|C01.150.703.534.350|C08.730.435.395|C17.800.838.208.055
D001762,Blepharitis,Blepharitis,Blepharitides|Blepharitis,C11.338.133
D019882,Blepharoptosis,Blepharoptosis,"Blepharoptoses|Ptoses, Eyelid|Blepharoptosis|Eyelid Ptoses|Ptosis, Eyelid|Eyelid Ptosis",C11.338.204
D001764,Blepharospasm,Blepharospasm,Blepharospasms|Blepharospasm,C11.338.250
D001765,Blind Loop Syndrome,Blind Loop Syndrome,"Syndrome, Blind Loop|Bacterial Overgrowth Syndrome|Stagnant Loop Syndrome|Blind Loop Syndrome|Loop Syndromes, Stagnant|Syndromes, Stagnant Loop|Stagnant Loop Syndromes|Syndrome, Stagnant Loop|Loop Syndrome, Stagnant|Syndrome, Bacterial Overgrowth",C06.405.469.637.145|C18.452.603.145
D015354,Blindness,Blindness,"Blindness, Legal|Legal Blindness|Amauroses|Acquired Blindness|Transient Blindness|Amaurosis|Sudden Visual Loss|Blindness, Unilateral|Blindness, Acquired|Hysterical Blindness|Blindness, Monocular|Unilateral Blindness|Monocular Blindness|Visual Loss, Sudden|Complete Blindness|Blindness, Bilateral|Blindness, Transient|Blindness, Hysterical|Bilateral Blindnesses|Sudden Visual Losses|Blindness, Complete|Blindness|Bilateral Blindness",C11.966.075|C23.888.592.763.941.162|C10.597.751.941.162
D001768,Blister,Blister,"Bullous Lesion|Bleb|Lesions, Bullous|Blister|Vesications|Bulla|Bullae|Lesion, Bullous|Bullous Lesions|Vesication|Blisters|Blebs",C23.300.122|C17.800.865.187
D001778,Blood Coagulation Disorders,Blood Coagulation Disorders,"Coagulation Disorder, Blood|Disorder, Blood Coagulation|Blood Coagulation Disorders|Coagulation Disorders, Blood|Disorders, Blood Coagulation|Blood Coagulation Disorder",C15.378.100
D001791,Blood Platelet Disorders,Blood Platelet Disorders,"Blood Platelet Disorder|Thrombocytopathy|Platelet Disorders, Blood|Blood Platelet Disorders|Platelet Disorder, Blood|Disorders, Blood Platelet|Thrombocytopathies|Disorder, Blood Platelet",C15.378.140
D001796,Blood Protein Disorders,Blood Protein Disorders,"Protein Disorder, Blood|Blood Protein Disorders|Disorder, Blood Protein|Disorders, Blood Protein|Protein Disorders, Blood|Blood Protein Disorder",C15.378.147
D001816,Bloom Syndrome,Bloom Syndrome,"Bloom-Torre-Machacek Syndrome|Congenital Telangiectatic Erythema|Bloom's Syndrome|Bloom Syndrome|Bloom's Syndromes|Telangiectatic Erythema, Congenital|Bloom Torre Machacek Syndrome|Congenital Telangiectatic Erythemas|Erythema, Congenital Telangiectatic",C16.131.077.137|C16.320.798.313|C18.452.284.100|C20.673.795.313
D001819,Bluetongue,Bluetongue,"Blue Tongue|Tongue, Blue|Bluetongue",C01.920.313.125|C01.925.782.791.315|C01.925.081.125|C22.836.120
D001832,Body Temperature Changes,Body Temperature Changes,"Temperature Change, Body|Temperature Changes, Body|Body Temperature Change|Body Temperature Changes|Changes, Body Temperature|Change, Body Temperature",C23.888.119
D001845,Bone Cysts,Bone Cysts,"Bone Cysts|Cysts, Solitary|Ganglion, Intra Osseous|Intra-Osseous Ganglia|Ganglia, Intra-Osseous|Intraosseous Ganglions|Ganglions, Intra-Osseous|Cyst, Subchondral|Subchondral Cyst|Solitary Cysts|Ganglion, Intra-Osseous|Intra-Osseous Ganglion|Intra-Osseous Ganglias|Subchondral Cysts|Intraosseous Ganglia|Cysts, Bone|Intra-Osseous Ganglions|Solitary Cyst|Ganglia, Intraosseous|Intraosseous Ganglion|Ganglia, Intra Osseous|Intra Osseous Ganglia|Cyst, Solitary|Intraosseous Ganglias|Bone Cyst|Cysts, Subchondral|Ganglias, Intraosseous|Cyst, Bone|Intra Osseous Ganglion|Ganglias, Intra-Osseous|Ganglion, Intraosseous",C05.116.070|C04.182.089
D050723,Bone Diseases,Bone Diseases,"Bone Diseases|Disease, Bone|Bone Disease|Diseases, Bone",C05.116
D001848,"Bone Diseases, Developmental","Bone Diseases, Developmental","Developmental Bone Disease|Bone Dysplasia|Bone Dysplasias|Bone Disease, Developmental|Dysplasias, Bone|Bone Diseases, Developmental|Developmental Bone Diseases|Dysplasia, Bone",C05.116.099
D001849,"Bone Diseases, Endocrine","Bone Diseases, Endocrine","Endocrine Bone Disease|Disease, Endocrine Bone|Diseases, Endocrine Bone|Bone Disease, Endocrine|Endocrine Bone Diseases|Bone Diseases, Endocrine",C19.149|C05.116.132
D001850,"Bone Diseases, Infectious","Bone Diseases, Infectious","Infectious Bone Disease|Bone Disease, Infectious|Bone Diseases, Infectious|Disease, Infectious Bone|Infectious Bone Diseases|Diseases, Infectious Bone",C05.116.165|C01.160
D015519,"Bone Diseases, Metabolic","Bone Diseases, Metabolic","Low Bone Densities|Bone Diseases, Metabolic|Osteopenia|Osteopenias|Metabolic Bone Disease|Metabolic Bone Diseases|Low Bone Density|Bone Density, Low|Low Bone Mineral Density|Bone Disease, Metabolic",C18.452.104|C05.116.198
D001855,Bone Marrow Diseases,Bone Marrow Diseases,"Marrow Diseases, Bone|Disease, Bone Marrow|Marrow Disease, Bone|Diseases, Bone Marrow|Bone Marrow Diseases|Bone Marrow Disease",C15.378.190
D001859,Bone Neoplasms,Bone Neoplasms,"Bone Neoplasm|Cancer of Bone|Bone Neoplasms|Bone Cancer|Cancer of the Bone|Neoplasms, Bone|Neoplasm, Bone",C04.588.149|C05.116.231
D001882,Border Disease,Border Disease,Border Disease|Border Diseases,C22.836.160|C01.925.782.350.675.100
D001885,Bordetella Infections,Bordetella Infections,"Bordetella Infections|Infections, Bordetella|Bordetella Infection|Infection, Bordetella",C01.150.252.400.143
D001890,Borna Disease,Borna Disease,Borna Disease,C01.925.782.580.124|C22.152
D001899,Borrelia Infections,Borrelia Infections,"Infections, Borrelia|Borrelia Infections|Infection, Borrelia|Borrelia Infection",C01.150.252.400.794.352
D001905,Botulism,Botulism,"Botulism, Wound|Wound Botulisms|Foodborne Botulism|Botulism, Infant|Foodborne Botulisms|Clostridium botulinum Infections|Infantile Botulism|Toxico-Infectious Botulism|Clostridium botulinum Infection|Infection, Clostridium botulinum|Botulism, Toxico-Infectious|Toxico Infectious Botulism|Infant Botulism|Botulism, Infantile|Infant Botulisms|Botulism, Foodborne|Botulism|Botulism, Toxico Infectious|Wound Botulism",C25.723.415.151|C01.150.252.410.222.151|C10.720.150|C10.668.758.200
D001907,Boutonneuse Fever,Boutonneuse Fever,"Boutonneuse Fevers|Fever, Boutonneuse|Rickettsia conorii Infection|Spotted Fever, Mediterranean|Infection, Rickettsia conorii|Rickettsia conorii Infections|Boutonneuse Fever|Mediterranean Spotted Fever|Fevers, Boutonneuse|Infections, Rickettsia conorii",C01.150.252.400.789.725.400.250|C01.920.930.887.250
D001912,Bovine Virus Diarrhea-Mucosal Disease,Bovine Virus Diarrhea-Mucosal Disease,"Bovine Virus Diarrhea Mucosal Disease|Mucosal Disease, Bovine Viral Diarrhea|Bovine Virus Diarrhea-Mucosal Disease",C22.196.106|C01.925.782.350.675.106
D001913,Bowen's Disease,Bowen's Disease,"Bowen's Disease|Disease, Bowen's|Disease, Bowen|Bowen Disease|Bowens Disease",C04.557.470.200.400.130|C04.557.470.700.400.130
D001919,Bradycardia,Bradycardia,Bradycardias|Bradycardia|Bradyarrhythmias|Bradyarrhythmia,C23.550.073.300|C14.280.067.319
